# Lindstrom Triangulation
# disp_scale=1.000000, disp_offset=0.000000mm
# anchor_mode=0, anchor_threshold=30.000000mm
# id x_orig y_orig z_orig x_target y_target z_target movement_mm is_anchor
481 2.375000 4.125000 0.002338 2.361863 4.101263 0.002342 27.129523 0
482 2.625000 4.325580 0.125000 2.643565 4.354369 0.125851 34.266536 0
484 2.875000 4.295290 0.125000 2.860224 4.272344 0.124292 27.301207 0
486 1.648390 4.375000 0.125000 1.653890 4.380868 0.125642 8.068314 0
525 0.625000 7.207820 0.125000 0.625341 7.200349 0.124878 7.479664 0
526 0.540826 7.375000 0.125000 0.541696 7.361220 0.124817 13.808321 0
527 0.875000 7.183950 0.125000 0.874765 7.202692 0.125602 18.753641 0
528 1.035050 7.375000 0.125000 1.036761 7.405251 0.125815 30.310028 0
529 1.125000 7.375000 -0.002568 1.124298 7.353379 -0.002282 21.634548 0
530 0.465746 7.625000 0.125000 0.465053 7.588759 0.124450 36.251622 0
531 1.125000 7.459790 0.125000 1.131427 7.431418 0.123868 29.113314 0
539 -1.375000 4.625000 -0.180300 -1.381780 4.633787 -0.181018 11.121440 0
547 -1.270330 4.875000 -0.125000 -1.248762 4.844396 -0.123452 37.472379 0
552 -1.125000 5.458870 -0.125000 -1.147225 5.501360 -0.126845 47.987270 0
565 -0.927398 5.875000 -0.125000 -0.942748 5.913607 -0.126451 41.572375 0
566 -0.875000 5.993870 -0.125000 -0.874091 5.993192 -0.124958 1.134921 0
570 -0.740565 4.375000 -0.375000 -0.732666 4.345509 -0.372130 30.665349 0
573 -0.740735 4.625000 -0.375000 -0.739200 4.622953 -0.374724 2.573682 0
577 -0.764803 5.125000 -0.375000 -0.760650 5.116856 -0.374028 9.193668 0
578 -0.625000 5.375000 -0.399788 -0.635749 5.399686 -0.403468 27.175147 0
579 -0.706297 5.375000 -0.375000 -0.712739 5.405002 -0.377479 30.785470 0
580 -0.625000 5.568930 -0.375000 -0.623653 5.565828 -0.374731 3.392103 0
581 -0.625000 5.625000 -0.365493 -0.620457 5.601910 -0.363843 23.590169 0
583 -0.625000 6.125000 -0.297782 -0.619822 6.116802 -0.296769 9.748917 0
584 -0.810421 6.125000 -0.125000 -0.813689 6.133963 -0.125369 9.547571 0
605 -0.532632 5.875000 -0.375000 -0.529380 5.870205 -0.374224 5.845387 0
610 -0.375000 6.092160 -0.375000 -0.373074 6.091079 -0.374615 2.242411 0
611 -0.375000 6.125000 -0.367688 -0.371397 6.118496 -0.366732 7.496803 0
622 -0.375000 6.777430 -0.125000 -0.378243 6.792397 -0.125528 15.323197 0
625 -0.125000 4.125000 -0.445569 -0.106601 4.088338 -0.435016 42.355458 0
642 -0.125000 6.125000 -0.243561 -0.123819 6.117265 -0.243193 7.833492 0
665 -0.065285 5.875000 -0.375000 -0.062431 5.821363 -0.371342 53.837657 0
666 -0.065285 5.875000 -0.375000 -0.062431 5.821363 -0.371342 53.837657 0
672 -0.003796 7.625000 -0.125000 -0.004768 7.636546 -0.125240 11.588879 0
673 -0.003796 7.625000 -0.125000 -0.004768 7.636546 -0.125240 11.588879 0
682 -0.125000 7.125000 0.004690 -0.134732 7.163643 0.004446 39.849950 0
683 -0.092699 7.125000 0.125000 -0.092299 7.124243 0.125023 0.856519 0
685 -0.043913 7.375000 0.125000 -0.045537 7.384334 0.125220 9.477185 0
686 -0.043913 7.375000 0.125000 -0.045537 7.384334 0.125220 9.477185 0
688 -0.013491 7.625000 0.125000 -0.015568 7.636415 0.125306 11.606465 0
690 0.066715 8.125000 0.125000 0.068356 8.117733 0.124889 7.450894 0
692 -1.375000 4.875000 -0.023286 -1.354061 4.846786 -0.022867 35.137910 0
697 -1.375000 5.029330 0.125000 -1.326728 4.960080 0.122586 84.448987 0
698 -1.307540 5.125000 0.125000 -1.318265 5.141920 0.125604 20.041946 0
699 -1.184450 5.375000 0.125000 -1.150828 5.315878 0.123175 68.037722 0
700 -1.125000 5.625000 0.076201 -1.144821 5.670120 0.076825 49.285762 0
702 -1.125000 5.661800 0.125000 -1.154894 5.729899 0.126840 74.394640 0
703 -0.961986 5.875000 0.125000 -0.976163 5.910827 0.125958 38.541984 0
704 -0.875000 6.059020 0.125000 -0.868905 6.035742 0.124465 24.068346 0
705 -0.853368 6.125000 0.125000 -0.852254 6.121499 0.124915 3.675121 0
706 -0.711253 6.375000 0.125000 -0.707744 6.371318 0.124820 5.089886 0
708 -0.625000 6.625000 0.000233 -0.611886 6.598210 0.000465 29.828328 0
712 -0.625000 6.659790 0.125000 -0.660119 6.730332 0.127300 78.834569 0
713 -0.403599 6.875000 0.125000 -0.422431 6.939223 0.126710 66.948565 0
714 -0.375000 6.875000 0.046381 -0.370055 6.860550 0.046259 15.272894 0
719 -0.375000 6.905620 0.125000 -0.372061 6.899704 0.124789 6.609466 0
722 4.125000 12.625000 2.483410 4.116576 12.600473 2.471633 28.482706 0
724 4.375000 12.625000 2.582460 4.361334 12.591448 2.566507 39.585496 0
727 4.125000 13.125000 2.490530 4.123300 13.117678 2.486651 8.458551 0
729 4.125000 13.375000 2.491200 4.129938 13.389652 2.497987 16.885844 0
733 4.125000 13.875000 2.570100 4.114901 13.836982 2.554018 42.496646 0
737 4.375000 14.217000 2.625000 4.392069 14.274668 2.658583 68.882244 0
738 4.375000 14.375000 2.455070 4.378349 14.385101 2.460490 11.942225 0
758 4.625000 14.125000 2.507630 4.622710 14.117077 2.504813 8.714971 0
759 4.625000 14.375000 2.501740 4.625647 14.375260 2.501948 0.727465 0
777 4.875000 14.125000 2.625320 4.889875 14.160852 2.644208 43.167074 0
778 4.875000 14.125900 2.625000 4.889078 14.159565 2.642836 40.615584 0
779 4.875000 14.375000 2.524240 4.884299 14.397592 2.536479 27.325416 0
789 5.078920 12.125000 2.625000 5.075927 12.119012 2.622331 7.206634 0
790 5.125000 12.125000 2.475230 5.124387 12.123142 2.474034 2.292645 0
792 5.125000 12.625000 2.515620 5.114239 12.605174 2.505280 24.815504 0
795 4.878310 14.125000 2.625000 4.893520 14.161650 2.644311 44.129918 0
796 5.125000 14.125000 2.524700 5.130932 14.135664 2.532763 14.625939 0
797 5.125000 14.375000 2.571540 5.131026 14.387975 2.576412 15.112798 0
807 5.264980 12.125000 2.375000 5.268448 12.129645 2.377015 6.136977 0
808 5.375000 12.125000 2.226980 5.365316 12.109895 2.220033 19.240167 0
809 5.375000 12.375000 2.253320 5.377228 12.377463 2.254501 3.524943 0
811 5.375000 12.625000 2.316620 5.374070 12.622916 2.315030 2.781352 0
818 5.375000 14.125000 2.536180 5.386008 14.145272 2.546941 25.454370 0
834 5.598020 12.375000 0.875000 5.604689 12.385282 0.876120 12.306649 0
835 5.513440 12.125000 1.125000 5.490475 12.107554 1.114262 30.773979 0
837 5.516750 12.125000 1.375000 5.493289 12.100473 1.362763 36.079692 0
843 5.416610 12.125000 2.125000 5.422860 12.133635 2.128149 11.115386 0
845 5.625000 12.561700 0.375000 5.619692 12.556935 0.374348 7.162824 0
848 5.625000 12.489800 0.875000 5.599525 12.458665 0.867529 40.917156 0
852 5.610500 12.625000 1.625000 5.602596 12.618007 1.619271 12.008348 0
853 5.606460 12.625000 1.875000 5.611497 12.631707 1.877360 8.713401 0
854 5.547240 12.625000 2.125000 5.515335 12.585551 2.099053 56.986195 0
855 5.625000 12.664200 1.625000 5.600557 12.638584 1.609362 38.706610 0
858 5.527020 12.875000 2.375000 5.531037 12.879622 2.378175 6.897948 0
863 5.375000 13.221600 2.625000 5.346824 13.175216 2.595252 61.889824 0
864 5.375000 13.375000 2.598680 5.375961 13.375396 2.599414 1.272504 0
865 5.625000 13.375000 2.475280 5.631272 13.384935 2.479053 12.340535 0
867 5.625000 14.375000 2.506150 5.615837 14.355316 2.498640 22.974878 0
871 5.645120 12.625000 0.375000 5.640183 12.620376 0.374405 6.790355 0
872 5.667750 12.625000 0.625000 5.697449 12.645222 0.631729 36.554349 0
875 5.651190 12.625000 1.375000 5.632370 12.603779 1.365405 29.943325 0
876 5.717590 12.875000 0.125000 5.663488 12.837204 0.125215 65.997658 0
883 5.692990 12.875000 1.875000 5.679929 12.853295 1.868335 26.193395 0
884 5.658430 12.875000 2.125000 5.664684 12.884472 2.127942 11.724978 0
885 5.791250 13.125000 0.125000 5.736130 13.086729 0.125338 67.104201 0
886 5.797110 13.125000 0.375000 5.788283 13.117477 0.373982 11.642513 0
889 5.805010 13.125000 1.125000 5.760218 13.089644 1.104369 60.679181 0
893 5.706480 13.125000 2.125000 5.711802 13.130829 2.128809 8.763793 0
894 5.648940 13.125000 2.375000 5.639213 13.110248 2.366348 19.674313 0
895 5.875000 13.360900 0.375000 5.837908 13.334009 0.370793 46.007246 0
898 5.875000 13.354000 0.875000 5.853826 13.339500 0.867296 26.793804 0
899 5.875000 13.355200 1.125000 5.838770 13.330765 1.107472 47.084450 0
911 5.732500 13.625000 2.375000 5.745723 13.644839 2.384826 25.787022 0
912 5.625000 13.625000 2.452170 5.626030 13.625475 2.453121 1.480409 0
915 5.667460 13.875000 2.375000 5.671943 13.881837 2.377687 8.606287 0
916 5.875000 14.125000 2.320860 5.873857 14.122038 2.319607 3.413139 0
919 5.875000 14.625000 2.470960 5.880042 14.633384 2.474348 10.353145 0
920 5.875000 14.375000 2.459460 5.878974 14.381328 2.461757 7.816756 0
922 5.875000 14.875000 2.544410 5.883450 14.887833 2.552362 17.301359 0
923 5.875000 15.125000 2.614760 5.876232 15.126150 2.615590 1.878243 0
924 5.868760 15.125000 2.625000 5.856953 15.103466 2.612243 27.674683 0
927 5.879920 13.375000 0.375000 5.831012 13.339201 0.369491 60.859240 0
928 5.882930 13.375000 0.625000 5.838125 13.335857 0.615115 60.310704 0
929 5.881980 13.375000 0.875000 5.837052 13.344504 0.858889 56.640470 0
930 5.881280 13.375000 1.125000 5.825652 13.337373 1.098303 72.270421 0
942 6.010740 13.875000 0.625000 5.990091 13.856728 0.620324 27.966077 0
946 5.967060 13.875000 1.625000 5.965860 13.873019 1.623951 2.542517 0
949 6.099670 14.125000 0.125000 6.052264 14.091223 0.125594 58.211521 0
951 6.086300 14.125000 0.625000 6.112360 14.141326 0.631072 31.345316 0
952 6.076680 14.125000 0.875000 6.072365 14.120943 0.873340 6.150844 0
956 6.019720 14.125000 1.875000 6.021380 14.126582 1.875771 2.419341 0
961 6.125000 14.294700 0.875000 6.112926 14.282821 0.870858 17.437263 0
962 6.125000 14.279800 1.125000 6.089302 14.253817 1.107678 47.429502 0
965 6.125000 14.375000 1.677240 6.145166 14.399383 1.688949 33.738440 0
966 6.088070 14.375000 1.875000 6.079268 14.364323 1.868230 15.405063 0
973 6.125000 14.875000 2.329510 6.110840 14.852972 2.317553 28.786985 0
976 6.125000 15.125000 2.491150 6.123609 15.122001 2.489419 3.731948 0
977 6.065170 15.375000 2.625000 6.046622 15.343037 2.606379 41.381257 0
978 6.125000 15.375000 2.480480 6.120385 15.364888 2.476872 11.686144 0
979 6.125000 15.625000 2.509430 6.134156 15.642826 2.515441 20.921836 0
980 6.084400 15.625000 2.625000 6.075245 15.607386 2.616039 21.780237 0
981 6.125000 15.875000 2.551550 6.119592 15.864374 2.545858 13.212539 0
982 6.090170 15.875000 2.625000 6.081108 15.857661 2.615415 21.785801 0
984 6.167170 14.375000 0.375000 6.179104 14.386333 0.376121 16.495766 0
985 6.166810 14.375000 0.625000 6.165186 14.372195 0.624596 3.266475 0
988 6.145380 14.375000 1.375000 6.135130 14.366443 1.368718 14.756569 0
989 6.138350 14.375000 1.625000 6.147329 14.383428 1.630415 13.452783 0
